scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,11,raw,fixed,0.2,0.3,1702,0.08396731029438637,0.09457941666023861,-0.07636923884445436,0.1576104872669592
physical_fixed,11,raw,fixed,0.3,0.4,826,0.14410791629091013,0.15666426316238413,-0.14037081914938104,0.21539601726007468
physical_fixed,11,raw,fixed,0.4,0.5,384,0.18295488397901255,0.19780818255868934,-0.18062477962424356,0.3291875845449393
physical_fixed,11,raw,fixed,0.5,0.6,169,0.21386202094117565,0.23301184284394844,-0.21200594217819574,0.19208374485312113
physical_fixed,11,raw,fixed,0.6,0.7,45,0.1705500861008962,0.21021399286730824,-0.14331641130977207,0.32850931029076547
physical_fixed,11,raw,fixed,0.7,0.8,8,0.16364778578281403,0.19071097956063118,-0.12936776876449585,0.0010724410583450462
physical_fixed,11,raw,fixed,0.8,0.9,1,0.022445380687713623,0.022445380687713623,0.022445380687713623,
physical_fixed,11,mean_var,fixed,0.0,0.1,3817,0.08848693433398504,0.09986382876988774,0.08841502004958648,0.0218409099185121
physical_fixed,11,mean_var,fixed,0.1,0.2,3048,0.03817573688151877,0.05125205687866419,0.0037220421557625136,0.09763552923560408
physical_fixed,11,mean_var,fixed,0.2,0.3,1702,0.08420200275583356,0.09429677174888297,-0.0743966746711983,0.171658742131574
physical_fixed,11,mean_var,fixed,0.3,0.4,826,0.1436610701730696,0.1559261715812401,-0.13647603274257653,0.21412959772762202
physical_fixed,11,mean_var,fixed,0.4,0.5,384,0.1726484642907356,0.19194540399464416,-0.1670342832415675,0.3249253765900438
physical_fixed,11,mean_var,fixed,0.5,0.6,169,0.18628024032130044,0.2126901494496824,-0.18381936416118103,0.19498037190316747
physical_fixed,11,mean_var,fixed,0.6,0.7,45,0.1564798288875156,0.1950247495020999,-0.15227402448654176,0.344102173120279
physical_fixed,11,mean_var,fixed,0.7,0.8,8,0.15388287603855133,0.16962554461286444,-0.15388287603855133,0.05392058796091055
