scenario,seed,method,level,n,mae,rmse,bias,corr,median_effective_snr_db
physical_snr,11,mean_var,-5.0,10000,0.0862026890475303,0.10891227610907289,0.02974625717289746,0.573871620815829,-15.440608978271484
physical_snr,11,mean_var,0.0,10000,0.06890944476192817,0.09793754298692584,-0.006083586322609335,0.6506360112388003,-10.440608978271484
physical_snr,11,mean_var,5.0,10000,0.05856395579967648,0.0836480858238142,-0.0361009585281834,0.8447306917810398,-5.440609931945801
physical_snr,11,mean_var,10.0,10000,0.05017744428524748,0.062493462485775655,-0.038843698538001625,0.9243673921350049,-0.4406094551086426
physical_snr,11,expanded_stats,-10.0,10000,0.1093049941122532,0.12690235643745665,0.07759663311839105,0.6215088638282208,-20.440608978271484
physical_snr,11,expanded_stats,-5.0,10000,0.0850960902363062,0.10808267117158163,0.02880388839542866,0.5799385040417193,-15.440608978271484
physical_snr,11,expanded_stats,0.0,10000,0.07011599375782535,0.09982979558545399,-0.008121339936275035,0.6305040632310344,-10.440608978271484
physical_snr,11,expanded_stats,5.0,10000,0.05673338589584455,0.08160192887474697,-0.03241738864751533,0.8349482081980787,-5.440609931945801
physical_snr,11,expanded_stats,10.0,10000,0.03709660217594356,0.047876908230752295,-0.027525303295813503,0.9511801206345298,-0.4406094551086426
physical_snr,22,moments,-10.0,10000,0.5168006029816578,0.7047395854120837,0.37708559716173917,0.3254830360029246,-20.435321807861328
physical_snr,22,moments_clipped,-10.0,10000,0.39802002227625344,0.49106213218177075,0.25830501645633486,0.2466634962176982,-20.435321807861328
physical_snr,22,known_sigma,-10.0,10000,0.21787688436335886,0.2989765068016671,0.06785384304509498,0.35160791122423746,-20.435321807861328
physical_snr,22,prior_mean,-10.0,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-20.435321807861328
physical_snr,22,prior_median,-10.0,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-20.435321807861328
physical_snr,22,moments,-5.0,10000,0.2844313583222451,0.36603751117033834,0.14686097446519417,0.34454182831579133,-15.435321807861328
physical_snr,22,moments_clipped,-5.0,10000,0.27804411867533346,0.3523474517912599,0.14047373481828254,0.3361793512213673,-15.435321807861328
physical_snr,22,known_sigma,-5.0,10000,0.12603534254350235,0.16938819914317432,0.006516411515767686,0.5369384793459975,-15.435321807861328
physical_snr,22,prior_mean,-5.0,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-15.435321807861328
physical_snr,22,prior_median,-5.0,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-15.435321807861328
physical_snr,22,moments,0.0,10000,0.15360640597466846,0.19559823211307287,0.0323924021956278,0.45781278517585766,-10.435321807861328
physical_snr,22,moments_clipped,0.0,10000,0.15360640597466846,0.19559823211307287,0.0323924021956278,0.45781278517585766,-10.435321807861328
physical_snr,22,known_sigma,0.0,10000,0.06413640583609231,0.0902205144059455,-0.0057694706423673785,0.8033161867427808,-10.435321807861328
physical_snr,22,prior_mean,0.0,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-10.435321807861328
physical_snr,22,prior_median,0.0,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-10.435321807861328
physical_snr,22,moments,5.0,10000,0.07291861393291038,0.1033704296263465,-0.003383929717517458,0.7433602482655367,-5.43532133102417
physical_snr,22,moments_clipped,5.0,10000,0.07291861393291038,0.1033704296263465,-0.003383929717517458,0.7433602482655367,-5.43532133102417
physical_snr,22,known_sigma,5.0,10000,0.02791277659101179,0.040825277794619474,-0.002656811391131487,0.9527881192552536,-5.43532133102417
physical_snr,22,prior_mean,5.0,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-5.43532133102417
physical_snr,22,prior_median,5.0,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-5.43532133102417
physical_snr,22,moments,10.0,10000,0.026628329784958625,0.04470786283009579,-0.0028890104539459572,0.9435258385672817,-0.4353213310241699
physical_snr,22,moments_clipped,10.0,10000,0.026628329784958625,0.04470786283009579,-0.0028890104539459572,0.9435258385672817,-0.4353213310241699
physical_snr,22,known_sigma,10.0,10000,0.012031738646607847,0.01792861574570494,-0.0007093265188857914,0.9904211929750403,-0.4353213310241699
physical_snr,22,prior_mean,10.0,10000,0.1023102895885706,0.12829889069193795,0.00015005242824554443,,-0.4353213310241699
physical_snr,22,prior_median,10.0,10000,0.09922450083568693,0.13181179437940607,-0.030228572040051225,,-0.4353213310241699
physical_snr,22,raw,-10.0,10000,0.16524425180302935,0.20936128968371495,-0.16521498553624844,-0.21559153386319602,-20.435321807861328
physical_snr,22,raw,-5.0,10000,0.164743181343138,0.20928554773845934,-0.164003137971292,-0.292539859880131,-15.435321807861328
