scenario,level,method,seeds,mae_mean,mae_std,rmse_mean,rmse_std,bias_mean,bias_std
physical_snr,10.0,mean_var,3,0.04747884181104601,0.002350017070961693,0.05878360400592777,0.003214589485617339,-0.03551987269433836,0.003521238318981425
physical_snr,-10.0,expanded_stats,3,0.10892185548320413,0.00035960788625989963,0.1269368517330195,0.00022143984496903575,0.07414580382977923,0.003133120914185037
physical_snr,-5.0,expanded_stats,3,0.08534758188805233,0.0011095731163964229,0.10858281152058775,0.001656408108238023,0.02895802142278602,0.00014052416761236732
physical_snr,0.0,expanded_stats,3,0.07016490120999515,0.0003462596009121978,0.09959871373328356,0.00046231677389739343,-0.008782084755847852,0.0016694447585512168
physical_snr,5.0,expanded_stats,3,0.05658354443019877,0.0007297034580119153,0.08090739566394013,0.0011519429475581183,-0.03265752647140374,0.0010791557037832709
physical_snr,10.0,expanded_stats,3,0.036971217420635125,0.0008888579517058141,0.047781172612939314,0.0009541947724354527,-0.025970703169268868,0.0018459416807373118
uniform_fixed,fixed,moments,3,0.25576436013886705,0.0013713101286444574,0.32472020799408124,0.0011114151411426713,0.02156310906301563,0.004052071398444764
uniform_fixed,fixed,moments_clipped,3,0.25228902432232475,0.0014631440896611795,0.32349444903774405,0.0011505933783136208,0.018087773246473322,0.004144508966210619
uniform_fixed,fixed,known_sigma,3,0.09965860212449916,0.0009620706997874112,0.13010465831465876,0.0012445658440910323,-0.001963045015046373,0.0013679605031422769
uniform_fixed,fixed,prior_mean,3,0.2501331366841992,0.000626071532314442,0.28904961110504795,0.0002577233682219278,-0.0017626423453291258,0.003878854215077208
uniform_fixed,fixed,prior_median,3,0.25011656259049975,0.000630908739100458,0.28903237575747276,0.00025914906597222396,-0.001550916704038779,0.001073968646219642
uniform_fixed,fixed,deepsets,3,0.086541758088395,0.0003858237393593108,0.11108177389040946,0.00047430985117155236,0.000905407485490044,0.0022467777755251534
uniform_fixed,fixed,raw,3,0.08888465903848411,0.00046064352901538743,0.11342813079197071,0.0005229301448375166,0.0030504616245627405,0.008082226337421328
uniform_fixed,fixed,mean_var,3,0.0867095740210265,0.0003686650491741222,0.11113983889106155,0.0003861731396433833,0.002893215773627162,0.0025615559441789773
uniform_fixed,fixed,expanded_stats,3,0.08665245680088798,0.00043714729818854035,0.11106627569664444,0.00048489022873206636,0.0008778979746003946,0.003080812700447812
