scenario,seed,method,step,examples,compute_seconds,data_seconds,train_seconds,train_mse,validation_rmse,best_validation_rmse
physical_fixed,11,raw,2800,1433600,2.327404755516909,1.3132785863708705,3.6406833418877795,0.01147463509812951,0.10610116590765473,0.10580897322439131
physical_fixed,11,raw,2900,1484800,2.4061472562607378,1.359918883186765,3.766066139447503,0.011184498835355043,0.10654911620403454,0.10580897322439131
physical_fixed,11,raw,3000,1536000,2.485804755240679,1.4071589786326513,3.89296373387333,0.011295575071126223,0.10602732590730843,0.10580897322439131
physical_fixed,11,mean_var,0,0,0.0,0.0,0.0,,0.4292422337413321,0.4292422337413321
physical_fixed,11,mean_var,100,51200,0.08612366812303662,0.04769358201883733,0.13381725014187396,0.03475919778458774,0.12667896321858904,0.12667896321858904
physical_fixed,11,mean_var,200,102400,0.17069995356723666,0.09474534494802356,0.2654452985152602,0.015945691633969545,0.122491138508055,0.122491138508055
physical_fixed,11,mean_var,300,153600,0.25537475338205695,0.14182947715744376,0.3972042305395007,0.014224944300949574,0.10978962868009019,0.10978962868009019
physical_fixed,11,mean_var,400,204800,0.3400904970476404,0.18863643996883184,0.5287269370164722,0.011216531815007329,0.1050621025506282,0.1050621025506282
physical_fixed,11,mean_var,500,256000,0.4247584445402026,0.2355886382283643,0.6603470827685669,0.010853714430704714,0.10485351601267608,0.10485351601267608
physical_fixed,11,mean_var,600,307200,0.5093228586483747,0.2825364872114733,0.791859345859848,0.010734050953760742,0.10491276897177453,0.10485351601267608
physical_fixed,11,mean_var,700,358400,0.5942979434039444,0.32957655587233603,0.9238744992762804,0.010955342091619968,0.10475079444260248,0.10475079444260248
physical_fixed,11,mean_var,800,409600,0.6786687950370833,0.37628897617105395,1.0549577712081373,0.01095898157916963,0.1051537522840177,0.10475079444260248
physical_fixed,11,mean_var,900,460800,0.7630775794386864,0.4233210734091699,1.1863986528478563,0.011038594665005803,0.10470439587479013,0.10470439587479013
physical_fixed,11,mean_var,1000,512000,0.848012964357622,0.47087462234776467,1.3188875867053866,0.010718173170462251,0.1047272431729769,0.10470439587479013
physical_fixed,11,mean_var,1100,563200,0.9325131436344236,0.5180924852611497,1.4506056288955733,0.010756968287751079,0.10474034988164266,0.10470439587479013
physical_fixed,11,mean_var,1200,614400,1.0169291622005403,0.5649801053805277,1.581909267581068,0.010882482975721358,0.1048350465414646,0.10470439587479013
physical_fixed,11,mean_var,1300,665600,1.1014508751686662,0.6117912314366549,1.7132421066053212,0.010944497836753726,0.10472187061749873,0.10470439587479013
physical_fixed,11,mean_var,1400,716800,1.1856337792705745,0.6585739492438734,1.8442077285144478,0.01089439395815134,0.10520385986949388,0.10470439587479013
physical_fixed,11,mean_var,1500,768000,1.270333428750746,0.7053365913452581,1.975670020096004,0.010934209069237113,0.10469006701457965,0.10469006701457965
physical_fixed,11,mean_var,1600,819200,1.3550972387893125,0.7521224517840892,2.1072196905734017,0.010982664255425333,0.1049521213832221,0.10469006701457965
physical_fixed,11,mean_var,1700,870400,1.4395300870528445,0.7990339891985059,2.2385640762513503,0.01083596440963447,0.10477301324863154,0.10469006701457965
physical_fixed,11,mean_var,1800,921600,1.5239039385924116,0.8458861284889281,2.3697900670813397,0.010910467207431794,0.10474204166688895,0.10469006701457965
